                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6008,                 3.2361,                 1.5128,                0.01333,                      1,                0.17586,                0.08975,                  1.232,                 3.1796,                 1.2343,                0.00012,                0.00012,                0.00012
                      2,                 1.3842,                 2.0893,                 1.2615,                      1,                 0.3661,                0.84943,                0.52875,                 1.1866,                  2.362,                 1.0335,             0.00025871,             0.00025871,             0.00025871
                      3,                 1.3441,                 1.4221,                 1.1778,                      1,                0.63172,                0.95568,                0.57928,                 1.2343,                 2.1143,                 1.0007,             0.00039604,             0.00039604,             0.00039604
                      4,                 1.3163,                 1.2857,                  1.148,                0.94987,                0.59223,                0.84842,                0.52099,                 1.1826,                 2.2552,                 1.0512,             0.00053198,             0.00053198,             0.00053198
                      5,                 1.3073,                 1.1631,                  1.113,                      1,                0.63742,                0.86077,                0.58692,                 1.0783,                 2.0674,                 1.0336,             0.00066654,             0.00066654,             0.00066654
                      6,                 1.3535,                 1.1393,                 1.1248,                0.95877,                0.72686,                0.87435,                0.48746,                 1.3277,                  1.981,                 1.0976,             0.00079971,             0.00079971,             0.00079971
                      7,                 1.1877,                 1.0279,                  1.092,                 0.8297,                0.60935,                0.85279,                0.57812,                 1.1169,                 1.9006,                  1.057,             0.00093149,             0.00093149,             0.00093149
                      8,                 1.2771,                 1.0554,                 1.1392,                0.96503,                0.86266,                0.94672,                0.61134,                 1.3265,                 1.7156,                 1.1682,              0.0010619,              0.0010619,              0.0010619
                      9,                 1.3428,                 1.0051,                 1.1271,                      1,                0.87939,                0.91698,                0.61976,                 1.1593,                 1.6628,                 1.1155,              0.0011909,              0.0011909,              0.0011909
                     10,                 1.2579,                 1.0529,                 1.1248,                0.92048,                 0.8125,                0.87692,                0.57443,                 1.2845,                 1.4826,                 1.2076,              0.0013185,              0.0013185,              0.0013185
                     11,                 1.2157,                0.93237,                  1.112,                0.93461,                0.89353,                0.92291,                0.64476,                 1.0962,                 1.2451,                 1.1363,              0.0014448,              0.0014448,              0.0014448
                     12,                 1.1507,                0.90318,                 1.1012,                0.51734,                  0.625,                0.60429,                0.31127,                 1.3289,                 1.9997,                 1.2904,              0.0015696,              0.0015696,              0.0015696
                     13,                 1.2472,                 1.0009,                 1.1567,                0.28461,                  0.625,                 0.3088,                0.16687,                 1.2608,                 2.2397,                 1.2182,              0.0016931,              0.0016931,              0.0016931
                     14,                 1.1608,                0.91605,                 1.1092,                0.53049,                0.63574,                0.59246,                0.37631,                 1.2908,                 1.7649,                 1.2033,              0.0018152,              0.0018152,              0.0018152
                     15,                 1.2239,                0.89373,                 1.1059,                0.79562,                  0.875,                0.81394,                0.53804,                 1.2494,                 1.3398,                 1.2196,              0.0018614,              0.0018614,              0.0018614
                     16,                  1.157,                0.87423,                 1.1032,                0.98779,                   0.75,                0.85861,                0.57925,                 1.3186,                 1.2172,                 1.2386,              0.0018614,              0.0018614,              0.0018614
                     17,                  1.147,                0.85781,                 1.1016,                      1,                0.77197,                0.87475,                0.59001,                 1.2028,                 1.2178,                 1.2139,              0.0018515,              0.0018515,              0.0018515
                     18,                 1.2382,                0.89737,                 1.1312,                      1,                0.89256,                0.90986,                0.52387,                 1.6121,                 1.1256,                  1.524,              0.0018416,              0.0018416,              0.0018416
                     19,                 1.2284,                0.85827,                  1.125,                      1,                0.87392,                0.92645,                0.62327,                 1.1653,                 1.0223,                 1.2154,              0.0018317,              0.0018317,              0.0018317
                     20,                 1.1899,                 0.8718,                 1.1312,                0.92975,                  0.875,                0.90264,                0.57883,                 1.3457,                 1.1709,                 1.3188,              0.0018218,              0.0018218,              0.0018218
                     21,                 1.1269,                0.82672,                 1.0945,                0.93022,                0.90625,                0.92463,                0.60376,                 1.2988,                 0.9656,                 1.3115,              0.0018119,              0.0018119,              0.0018119
                     22,                 1.1459,                0.80013,                 1.1199,                0.99322,                  0.875,                0.95381,                0.61941,                 1.1893,                0.89595,                 1.2624,               0.001802,               0.001802,               0.001802
                     23,                 1.0954,                0.77367,                 1.0699,                0.90788,                  0.875,                0.93232,                0.54665,                 1.4003,                0.99162,                 1.3375,              0.0017921,              0.0017921,              0.0017921
                     24,                 1.1283,                0.79017,                  1.087,                0.83277,                0.93384,                0.91935,                0.58582,                 1.2785,                0.96905,                 1.2078,              0.0017822,              0.0017822,              0.0017822
                     25,                 1.1604,                0.82255,                 1.1066,                      1,                0.83932,                0.92347,                0.62034,                 1.2342,                0.99225,                 1.2363,              0.0017723,              0.0017723,              0.0017723
                     26,                 1.1303,                0.82479,                 1.1167,                0.94928,                0.84375,                0.86464,                0.60687,                 1.1588,                 1.2748,                 1.1877,              0.0017624,              0.0017624,              0.0017624
                     27,                 1.1816,                0.80624,                 1.0891,                0.94622,                0.78125,                0.85196,                 0.6082,                  1.142,                 1.0086,                 1.1767,              0.0017525,              0.0017525,              0.0017525
                     28,                 1.0376,                0.73242,                 1.0364,                0.99038,                  0.875,                0.92568,                0.64128,                 1.1718,                0.87003,                  1.216,              0.0017426,              0.0017426,              0.0017426
                     29,                 1.1101,                0.74902,                 1.0779,                0.99612,                  0.875,                0.94969,                0.65043,                 1.1735,                0.81505,                 1.2074,              0.0017327,              0.0017327,              0.0017327
                     30,                 1.1493,                0.75561,                 1.1001,                0.99484,                 0.9375,                0.96108,                0.64896,                 1.2446,                0.80583,                 1.2073,              0.0017228,              0.0017228,              0.0017228
                     31,                 1.1064,                0.73099,                 1.0635,                0.98333,                0.96875,                0.97108,                0.66585,                 1.1513,                0.83967,                 1.1518,              0.0017129,              0.0017129,              0.0017129
                     32,                 1.0685,                0.71608,                 1.0457,                      1,                0.86562,                0.97777,                0.67051,                 1.0958,                0.86217,                  1.184,               0.001703,               0.001703,               0.001703
                     33,                 1.2362,                0.91989,                 1.1792,                 0.8555,                 0.9375,                0.96084,                0.65274,                 1.1278,                0.94132,                 1.1758,              0.0016931,              0.0016931,              0.0016931
                     34,                 1.0993,                0.71783,                 1.0651,                0.88364,                0.94946,                0.95531,                0.67758,                 1.0663,                 0.8386,                 1.1378,              0.0016832,              0.0016832,              0.0016832
                     35,                 1.1293,                0.70535,                 1.0948,                0.98963,                 0.9375,                0.93821,                0.63307,                 1.2816,                0.79853,                 1.2798,              0.0016733,              0.0016733,              0.0016733
                     36,                 1.0692,                0.69694,                 1.0615,                      1,                0.90425,                0.94161,                 0.6586,                 1.1297,                0.76287,                  1.182,              0.0016634,              0.0016634,              0.0016634
                     37,                  1.088,                0.68086,                 1.0647,                0.96736,                0.92654,                0.94932,                0.63812,                 1.1743,                0.84562,                 1.2165,              0.0016535,              0.0016535,              0.0016535
                     38,                 1.0313,                0.70606,                 1.0549,                0.93531,                0.90373,                0.95361,                0.62881,                 1.1788,                0.87432,                 1.2419,              0.0016436,              0.0016436,              0.0016436
                     39,                  1.086,                0.68639,                 1.0705,                0.99684,                0.84375,                0.96028,                0.68681,                 1.0403,                 0.7212,                 1.1492,              0.0016337,              0.0016337,              0.0016337
                     40,                 1.0898,                 0.6935,                 1.0639,                0.96623,                0.96875,                0.97571,                0.67786,                 1.1116,                  0.745,                 1.1636,              0.0016238,              0.0016238,              0.0016238
                     41,                 1.0791,                0.68192,                 1.0585,                0.96827,                0.95372,                0.98365,                 0.6823,                 1.1354,                0.69954,                  1.157,              0.0016139,              0.0016139,              0.0016139
                     42,                0.96901,                0.63692,                 1.0282,                0.95991,                 0.9375,                0.98359,                0.69864,                 1.0866,                0.67785,                  1.113,               0.001604,               0.001604,               0.001604
                     43,                0.98601,                0.65991,                 1.0353,                0.96855,                 0.9626,                0.98962,                0.69678,                 1.0855,                0.65176,                 1.1182,              0.0015941,              0.0015941,              0.0015941
                     44,                 1.0057,                0.60745,                 1.0314,                0.99748,                0.90625,                0.98539,                0.69972,                 1.0608,                0.61931,                 1.0897,              0.0015842,              0.0015842,              0.0015842
                     45,                0.96529,                0.59112,                 1.0211,                0.93033,                 0.9375,                0.98015,                0.71027,                 1.0634,                0.63299,                 1.0761,              0.0015743,              0.0015743,              0.0015743
                     46,                 1.0197,                0.62438,                 1.0328,                0.95613,                0.90625,                0.96664,                0.69666,                 1.1055,                0.70694,                 1.1022,              0.0015644,              0.0015644,              0.0015644
                     47,                0.93635,                0.60726,                 1.0097,                0.93468,                0.89452,                0.96126,                0.67597,                  1.058,                0.69709,                 1.1015,              0.0015545,              0.0015545,              0.0015545
                     48,                0.98586,                0.60719,                 1.0247,                      1,                0.89814,                0.96397,                0.66867,                 1.1093,                0.68647,                  1.136,              0.0015446,              0.0015446,              0.0015446
                     49,                 1.0231,                 0.6121,                 1.0321,                0.96668,                 0.9066,                0.96311,                0.64728,                 1.1339,                0.70325,                  1.191,              0.0015347,              0.0015347,              0.0015347
                     50,                 1.0179,                0.62999,                 1.0338,                0.99633,                 0.9375,                0.95248,                0.64883,                 1.1459,                0.68419,                 1.2026,              0.0015248,              0.0015248,              0.0015248
                     51,                 1.0156,                0.61799,                 1.0321,                0.95963,                 0.9375,                0.96734,                0.62659,                 1.2245,                0.65457,                 1.1804,              0.0015149,              0.0015149,              0.0015149
                     52,                0.93719,                0.57689,                 1.0047,                0.98507,                 0.9375,                0.97105,                0.63798,                 1.2351,                0.66098,                 1.2146,               0.001505,               0.001505,               0.001505
                     53,                0.99692,                0.58607,                 1.0374,                0.98898,                 0.9375,                0.96582,                 0.6514,                 1.1666,                 0.6578,                 1.1956,              0.0014951,              0.0014951,              0.0014951
                     54,                0.90887,                0.55972,                 0.9956,                0.99652,                 0.9375,                0.94509,                0.63762,                 1.1772,                0.65658,                 1.1759,              0.0014852,              0.0014852,              0.0014852
                     55,                 1.0432,                 0.5884,                 1.0445,                0.94106,                  0.875,                0.93816,                 0.6076,                 1.2488,                0.72441,                 1.1989,              0.0014753,              0.0014753,              0.0014753
                     56,                0.93678,                0.56809,                 1.0074,                0.93745,                0.93671,                0.94391,                0.66901,                 1.1079,                0.68023,                 1.1448,              0.0014654,              0.0014654,              0.0014654
                     57,                 1.0006,                0.58578,                 1.0282,                0.96754,                0.93154,                 0.9472,                0.67139,                 1.1216,                0.69127,                 1.1473,              0.0014555,              0.0014555,              0.0014555
                     58,                 0.8818,                0.53888,                0.97448,                0.99449,                0.90625,                0.95591,                0.63914,                 1.2223,                  0.728,                 1.1974,              0.0014456,              0.0014456,              0.0014456
                     59,                0.90323,                 0.5643,                0.99041,                0.99773,                 0.9375,                0.96732,                0.65393,                 1.1882,                0.68317,                 1.1928,              0.0014357,              0.0014357,              0.0014357
